"","Year","State","Sport","Girls Participation","Boys Participation","year_cleaned"
"1","2018/2019","AL","Basketball",8559,13648,2018
"2","2018/2019","AL","Bowling",610,731,2018
"3","2018/2019","AL","Cross Country",2669,3804,2018
"4","2018/2019","AL","Golf",784,1690,2018
"5","2018/2019","AL","Heptathlon",66,0,2018
"6","2018/2019","AL","Soccer",5434,6916,2018
"7","2018/2019","AL","Base/Softball",9752,0,2018
"8","2018/2019","AL","Swimming & Diving",882,742,2018
"9","2018/2019","AL","Tennis",1926,1504,2018
"10","2018/2019","AL","Track and Field",2047,2728,2018
"11","2018/2019","AL","Track and Field",5962,8317,2018
"12","2018/2019","AL","Volleyball",10310,0,2018
"13","2018/2019","AK","Base/Softball",16,717,2018
"14","2018/2019","AK","Basketball",1513,1920,2018
"15","2018/2019","AK","Bowling",110,110,2018
"16","2018/2019","AK","Canoe Paddling",154,6,2018
"17","2018/2019","AK","Competitive Spirit* (Boys who cheer/Girls who cheer)",209,25,2018
"18","2018/2019","AK","Cross Country",791,1003,2018
"19","2018/2019","AK","Dance/Drill",3,2,2018
"20","2018/2019","AK","Dance Team, Jazz",50,0,2018
"21","2018/2019","AK","Flag Football",475,0,2018
"22","2018/2019","AK","Football",52,1564,2018
"23","2018/2019","AK","Gymnastics",103,0,2018
"24","2018/2019","AK","Ice/Field Hockey",40,614,2018
"25","2018/2019","AK","Mixed 6-Coed Volleyball",600,327,2018
"26","2018/2019","AK","Riflery",56,140,2018
"27","2018/2019","AK","Skiing",324,582,2018
"28","2018/2019","AK","Soccer",960,929,2018
"29","2018/2019","AK","Base/Softball",767,2,2018
"30","2018/2019","AK","Swimming & Diving",466,398,2018
"31","2018/2019","AK","Tennis",225,205,2018
"32","2018/2019","AK","Track and Field",961,1225,2018
"33","2018/2019","AK","Volleyball",1907,327,2018
"34","2018/2019","AK","Wrestling",347,1249,2018
"35","2018/2019","AZ","Badminton",1412,0,2018
"36","2018/2019","AZ","Base/Softball",18,7509,2018
"37","2018/2019","AZ","Basketball",6322,8219,2018
"38","2018/2019","AZ","Competitive Spirit* (Boys who cheer/Girls who cheer)",6098,322,2018
"39","2018/2019","AZ","Cross Country",2687,3507,2018
"40","2018/2019","AZ","Football",79,16498,2018
"41","2018/2019","AZ","Football",9,1974,2018
"42","2018/2019","AZ","Golf",988,1634,2018
"43","2018/2019","AZ","Sand Volleyball",951,0,2018
"44","2018/2019","AZ","Soccer",6489,7848,2018
"45","2018/2019","AZ","Base/Softball",6690,0,2018
"46","2018/2019","AZ","Swimming & Diving",3232,2641,2018
"47","2018/2019","AZ","Tennis",2672,2131,2018
"48","2018/2019","AZ","Track and Field",6530,8984,2018
"49","2018/2019","AZ","Volleyball",8159,2359,2018
"50","2018/2019","AZ","Wrestling",481,4894,2018
"51","2018/2019","AR","Adapted Basketball",59,135,2018
"52","2018/2019","AR","Adapted Bowling",33,42,2018
"53","2018/2019","AR","Adapted Soccer",54,13,2018
"54","2018/2019","AR","Air Riflery",14,16,2018
"55","2018/2019","AR","Archery",475,539,2018
"56","2018/2019","AR","Base/Softball",10,5489,2018
"57","2018/2019","AR","Basketball",4000,5144,2018
"58","2018/2019","AR","Bowling",655,732,2018
"59","2018/2019","AR","Competitive Spirit* (Boys who cheer/Girls who cheer)",1846,77,2018
"60","2018/2019","AR","Cross Country",1506,1862,2018
"61","2018/2019","AR","Dance",741,14,2018
"62","2018/2019","AR","Decathlon",17,85,2018
"63","2018/2019","AR","Football",7,10255,2018
"64","2018/2019","AR","Football",1,119,2018
"65","2018/2019","AR","Golf",697,1211,2018
"66","2018/2019","AR","Gymnastics",25,0,2018
"67","2018/2019","AR","Heptathlon",53,3,2018
"68","2018/2019","AR","Lacrosse",50,100,2018
"69","2018/2019","AR","Riflery",14,16,2018
"70","2018/2019","AR","Rodeo",24,55,2018
"71","2018/2019","AR","Soccer",2461,3038,2018
"72","2018/2019","AR","Base/Softball",4392,0,2018
"73","2018/2019","AR","Swimming & Diving",572,532,2018
"74","2018/2019","AR","Tennis",1062,946,2018
"75","2018/2019","AR","Track and Field",808,1151,2018
"76","2018/2019","AR","Track and Field",3361,8363,2018
"77","2018/2019","AR","Trap Shooting",328,1330,2018
"78","2018/2019","AR","Unified Track and Field",54,34,2018
"79","2018/2019","AR","Volleyball",2923,0,2018
"80","2018/2019","AR","Wrestling",54,1137,2018
"81","2018/2019","CA","Adapted Bowling",2,0,2018
"82","2018/2019","CA","Adapted Soccer",40,70,2018
"83","2018/2019","CA","Adapted Base/Softball",10,30,2018
"84","2018/2019","CA","Adapted Track",30,102,2018
"85","2018/2019","CA","Archery",144,135,2018
"86","2018/2019","CA","Badminton",5026,3830,2018
"87","2018/2019","CA","Base/Softball",418,44347,2018
"88","2018/2019","CA","Basketball",35902,48111,2018
"89","2018/2019","CA","Bowling",8,17,2018
"90","2018/2019","CA","Competitive Spirit* (Boys who cheer/Girls who cheer)",15705,880,2018
"91","2018/2019","CA","Crew",240,167,2018
"92","2018/2019","CA","Cross Country",24208,31880,2018
"93","2018/2019","CA","Decathlon",149,178,2018
"94","2018/2019","CA","Equestrian",309,19,2018
